symbol,name,market,as_of,source
005930,삼성전자,유가,2026-06-12,KRX KIND
000660,SK하이닉스,유가,2026-06-12,KRX KIND
035420,NAVER,유가,2026-06-12,KRX KIND
035720,카카오,유가,2026-06-12,KRX KIND
051910,LG화학,유가,2026-06-12,KRX KIND
068270,셀트리온,유가,2026-06-12,KRX KIND
005380,현대자동차,유가,2026-06-12,KRX KIND
000020,동화약품,유가,2026-06-12,KRX KIND
000040,KR모터스,유가,2026-06-12,KRX KIND
000050,경방,유가,2026-06-12,KRX KIND
000070,삼양홀딩스,유가,2026-06-12,KRX KIND
000080,하이트진로,유가,2026-06-12,KRX KIND
000100,유한양행,유가,2026-06-12,KRX KIND
000120,CJ대한통운,유가,2026-06-12,KRX KIND
000140,하이트진로홀딩스,유가,2026-06-12,KRX KIND
000150,두산,유가,2026-06-12,KRX KIND
000180,성창기업지주,유가,2026-06-12,KRX KIND
000210,DL,유가,2026-06-12,KRX KIND
000220,유유제약,유가,2026-06-12,KRX KIND
000230,일동홀딩스,유가,2026-06-12,KRX KIND
000240,한국앤컴퍼니,유가,2026-06-12,KRX KIND
000250,삼천당제약,코스닥,2026-06-12,KRX KIND
000270,기아,유가,2026-06-12,KRX KIND
000300,DH오토넥스,유가,2026-06-12,KRX KIND
000320,노루홀딩스,유가,2026-06-12,KRX KIND
000370,한화손해보험,유가,2026-06-12,KRX KIND
000390,SP삼화,유가,2026-06-12,KRX KIND
000400,롯데손해보험,유가,2026-06-12,KRX KIND
000430,대원강업,유가,2026-06-12,KRX KIND
000440,중앙에너비스,코스닥,2026-06-12,KRX KIND
000480,시알홀딩스,유가,2026-06-12,KRX KIND
000490,대동,유가,2026-06-12,KRX KIND
000500,가온전선,유가,2026-06-12,KRX KIND
000520,삼일제약,유가,2026-06-12,KRX KIND
000540,흥국화재,유가,2026-06-12,KRX KIND
000590,CS홀딩스,유가,2026-06-12,KRX KIND
000640,동아쏘시오홀딩스,유가,2026-06-12,KRX KIND
000650,천일고속,유가,2026-06-12,KRX KIND
000670,영풍,유가,2026-06-12,KRX KIND
000680,LS네트웍스,유가,2026-06-12,KRX KIND
000700,유수홀딩스,유가,2026-06-12,KRX KIND
000720,현대건설,유가,2026-06-12,KRX KIND
000760,이화산업,유가,2026-06-12,KRX KIND
000810,삼성화재해상보험,유가,2026-06-12,KRX KIND
000850,화천기공,유가,2026-06-12,KRX KIND
000860,강남제비스코,유가,2026-06-12,KRX KIND
000880,한화,유가,2026-06-12,KRX KIND
000890,보해양조,유가,2026-06-12,KRX KIND
000910,유니온,유가,2026-06-12,KRX KIND
000950,전방,유가,2026-06-12,KRX KIND
000970,한국주철관공업,유가,2026-06-12,KRX KIND
000990,DB하이텍,유가,2026-06-12,KRX KIND
001000,신라섬유,코스닥,2026-06-12,KRX KIND
001020,페이퍼코리아,유가,2026-06-12,KRX KIND
001040,CJ,유가,2026-06-12,KRX KIND
001060,JW중외제약,유가,2026-06-12,KRX KIND
001070,대한방직,유가,2026-06-12,KRX KIND
001080,만호제강,유가,2026-06-12,KRX KIND
001120,LX인터내셔널,유가,2026-06-12,KRX KIND
001130,대한제분,유가,2026-06-12,KRX KIND
001200,유진증권,유가,2026-06-12,KRX KIND
001210,금호전기,유가,2026-06-12,KRX KIND
001230,동국홀딩스,유가,2026-06-12,KRX KIND
001250,GS글로벌,유가,2026-06-12,KRX KIND
001260,남광토건,유가,2026-06-12,KRX KIND
001270,부국증권,유가,2026-06-12,KRX KIND
001290,상상인증권,유가,2026-06-12,KRX KIND
001340,PKC,유가,2026-06-12,KRX KIND
001360,삼성제약,유가,2026-06-12,KRX KIND
001380,SG글로벌,유가,2026-06-12,KRX KIND
001390,KG케미칼,유가,2026-06-12,KRX KIND
001420,태원물산,유가,2026-06-12,KRX KIND
001430,세아베스틸지주,유가,2026-06-12,KRX KIND
001440,대한전선,유가,2026-06-12,KRX KIND
001450,현대해상,유가,2026-06-12,KRX KIND
001460,BYC,유가,2026-06-12,KRX KIND
001470,삼부토건,유가,2026-06-12,KRX KIND
001500,현대차증권,유가,2026-06-12,KRX KIND
001510,SK증권,유가,2026-06-12,KRX KIND
001520,동양,유가,2026-06-12,KRX KIND
001530,디아이동일,유가,2026-06-12,KRX KIND
001540,안국약품,코스닥,2026-06-12,KRX KIND
001550,조비,유가,2026-06-12,KRX KIND
001560,제일연마,유가,2026-06-12,KRX KIND
001570,금양,유가,2026-06-12,KRX KIND
001620,케이비아이동국실업,유가,2026-06-12,KRX KIND
001630,종근당홀딩스,유가,2026-06-12,KRX KIND
001680,대상,유가,2026-06-12,KRX KIND
001720,신영증권,유가,2026-06-12,KRX KIND
001740,SK네트웍스,유가,2026-06-12,KRX KIND
001750,한양증권,유가,2026-06-12,KRX KIND
001770,SHD,유가,2026-06-12,KRX KIND
001780,알루코,유가,2026-06-12,KRX KIND
001790,대한제당,유가,2026-06-12,KRX KIND
